epoch,loss,val_loss,accuracy,val_accuracy
1,0.7595,0.6914,0.5385,0.5714
2,0.7903,0.6920,0.4753,0.5604
3,0.7302,0.6912,0.5165,0.5495
4,0.7758,0.7181,0.4670,0.4066
5,0.7488,0.7127,0.5055,0.4176
6,0.7427,0.6969,0.4643,0.4835
7,0.7522,0.6891,0.4835,0.5275
8,0.7705,0.6877,0.4918,0.5385
9,0.7560,0.6956,0.4780,0.4725
10,0.7125,0.6951,0.5357,0.5275
11,0.7243,0.6954,0.5330,0.5495
12,0.7236,0.9220,0.5549,0.5165
13,0.7401,1.9588,0.5275,0.5495
14,0.7485,1.8718,0.4808,0.4066
15,0.7362,1.5706,0.4698,0.5165
16,0.7175,1.8823,0.5027,0.4725
17,0.7336,2.0008,0.5082,0.4945
18,0.7482,1.1135,0.4615,0.4945
19,0.7060,0.9753,0.5220,0.4615
20,0.7240,1.0512,0.5027,0.5165
21,0.7266,0.6704,0.5027,0.5934
22,0.7098,0.9810,0.4945,0.5165
23,0.7525,0.7361,0.4451,0.5165
24,0.7200,0.8814,0.5110,0.5275
25,0.7236,1.4755,0.4808,0.5055
26,0.7191,1.4304,0.5082,0.5495
27,0.7084,1.1950,0.5027,0.5055
28,0.7339,1.0383,0.4808,0.5275
29,0.7337,0.7951,0.4533,0.5165
30,0.7074,0.8266,0.4918,0.5275
31,0.7159,0.9497,0.5027,0.4835
32,0.7232,1.0322,0.5110,0.5604
33,0.7362,1.0648,0.4863,0.5495
34,0.7243,0.8665,0.4588,0.5165
35,0.7084,0.7378,0.5027,0.4725
36,0.7213,0.7881,0.5137,0.5275
37,0.7301,0.8260,0.4643,0.4835
38,0.7089,0.7953,0.5247,0.4725
39,0.7091,0.8087,0.4753,0.4945
40,0.7098,0.8362,0.5110,0.5495
41,0.7171,0.7695,0.4780,0.4835

