WindowID,WindowType,EntryType,Type,EntryTime,ExitTime,EntryPrice,ExitPrice,SL,TP,Risk,P&L,R_Multiple,Status,BreakoutDistance,BreakoutBodyPct,BreakoutAtrMultiple,RangeWidth,RangeMid,EntryOffset,RangeAtrRatio,PriceAboveEMA200_5M,ATR_Value,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Consolidation_Score,Trend_Score,Is_Consolidating,Is_Tight_Range,Price_Above_EMA200_5M,Price_Above_EMA200_1H,ActiveWindowType,RangeHigh,RangeLow,Mode
2025-06-17_1630,1630,REVERSAL,BUY,2025-06-17 17:05:00,2025-06-17 18:50:00,19630.712499999998,19612.09,19612.09,19667.957499999993,18.62249999999767,-18.62249999999767,-1.0,SL_HIT,0.0,0.7262532981531756,0.0,24.100000000002183,19628.72,1.992499999996653,1.3796029779284862,0,17.468793838201936,19630.886784247945,19636.7417864107,19650.484020667984,19623.367553010787,19585.487495179535,17.61247181624911,0.08966512315768924,0.7499273739122987,0.0,0.3333333333333333,0,0,1,1,1630,19640.77,19616.67,reversal_failed_move
2025-07-11_1630,1630,REVERSAL,BUY,2025-07-11 18:25:00,2025-07-11 19:05:00,20619.335,20646.725,20605.64,20646.725,13.694999999999709,27.389999999999418,2.0,TP_HIT,0.0,0.7585910652922842,0.0,27.770000000000437,20621.565000000002,-2.2300000000032014,1.7397565042149075,1,15.962003839458031,20613.426813804635,20609.179753805514,20608.788673467552,20571.551182143372,20050.548275113768,14.624535538938938,0.07090738904611593,0.8364650431511269,0.0,1.0,0,0,1,1,1630,20635.45,20607.68,reversal_failed_move
2025-08-11_1630,1630,REVERSAL,BUY,2025-08-11 17:30:00,2025-08-11 17:35:00,21483.8625,21482.05,21482.05,21487.4875,1.8125,-1.8125,-1.0,SL_HIT,0.0,1.0,0.0,16.590000000000146,21485.925000000003,-2.062500000003638,1.2108874374211682,1,13.700695446417328,21479.371908348865,21472.94514648437,21454.536219412385,21329.95806802275,20852.27089149432,10.921052645900627,0.05082836026340993,0.7325897544473543,0.0,1.0,0,0,1,1,1630,21494.22,21477.63,reversal_failed_move
2025-08-13_1630,1630,REVERSAL,BUY,2025-08-13 16:55:00,2025-08-13 17:05:00,21724.112500000003,21718.78,21718.78,21734.77750000001,5.3325000000040745,-5.3325000000040745,-1.0,SL_HIT,0.0,0.5970856102004064,0.0,16.209999999999127,21724.575,-0.4624999999978172,0.7856839758823781,1,20.631704982647967,21728.2495420488,21724.87193834221,21691.28069965372,21547.43252185947,20942.98208558227,17.256169520299924,0.07942617052018164,0.8653853022584045,0.0,1.0,0,0,1,1,1630,21732.68,21716.47,reversal_failed_move
2025-08-27_1630,1630,REVERSAL,BUY,2025-08-27 16:55:00,2025-08-27 17:30:00,21574.7575,21565.29,21565.29,21593.692499999997,9.467499999998836,-9.467499999998836,-1.0,SL_HIT,0.0,0.9347826086956522,0.0,6.299999999999272,21575.269999999997,-0.5124999999970896,0.4692939173618754,1,13.424422876423739,21566.50728417244,21546.30623170686,21522.53262562179,21478.525450288533,21203.254540578953,12.748210960513681,0.05906622860640053,0.8077866193573676,0.0,1.0,0,0,1,1,1630,21578.42,21572.12,reversal_failed_move
2025-09-17_1630,1630,REVERSAL,BUY,2025-09-17 17:15:00,2025-09-17 17:25:00,22230.252500000002,22222.27,22222.27,22246.217500000006,7.982500000001892,-7.982500000001892,-1.0,SL_HIT,0.0,0.4762773722626017,0.0,25.919999999998254,22231.2,-0.9474999999983993,2.3081609809287413,0,11.22971933680672,22230.465801676564,22249.26987891192,22283.22593760856,22267.242716788118,21650.92886048601,11.680455857423903,0.05252107441614808,0.8208633695233675,0.0,0.3333333333333333,0,0,0,1,1630,22244.16,22218.24,reversal_failed_move
2025-09-23_1630,1630,REVERSAL,BUY,2025-09-23 17:10:00,2025-09-23 17:40:00,22722.942499999997,22710.68,22710.68,22747.46749999999,12.26249999999709,-12.26249999999709,-1.0,SL_HIT,0.0,0.6047582501919971,0.0,22.9900000000016,22726.815000000002,-3.8725000000049477,1.3632960335857909,1,16.86354205809025,22722.280145946886,22730.177652594986,22738.296912092403,22643.111933308373,21886.18359220835,14.39887570880557,0.0633422681153481,0.8450707815311367,0.0,0.3333333333333333,0,0,1,1,1630,22738.31,22715.32,reversal_failed_move
2025-09-25_1630,1630,REVERSAL,BUY,2025-09-25 17:35:00,2025-09-25 19:20:00,22404.21,22373.27,22373.27,22466.089999999997,30.93999999999869,-30.93999999999869,-1.0,SL_HIT,0.0,0.6113074204946682,0.0,32.29000000000087,22387.155,17.05500000000029,1.0338173225900245,0,31.233757932305366,22394.637307716763,22386.453352616332,22407.776738099437,22513.12225638011,21967.28672080192,29.138445420814787,0.1299102145943,0.8183003715533771,0.0,0.6666666666666666,0,0,0,1,1630,22403.3,22371.01,reversal_failed_move
2025-10-08_1630,1630,REVERSAL,BUY,2025-10-08 17:25:00,2025-10-08 17:50:00,22951.6275,22973.942499999994,22940.47,22973.942499999994,11.157499999997526,22.314999999995052,2.0,TP_HIT,0.0,0.47826086956573316,0.0,16.140000000003056,22951.489999999998,0.1375000000007276,1.3211697649948215,1,12.216446688110759,22945.466319940693,22924.294465340907,22883.25920389576,22858.56570645668,22339.30150823321,12.807908845736675,0.05577504852584241,0.7115472420587515,0.0,1.0,0,0,1,1,1630,22959.56,22943.42,reversal_failed_move
2025-11-05_1630,1630,REVERSAL,BUY,2025-11-05 17:25:00,2025-11-05 18:35:00,23498.35725,23581.41575,23456.828,23581.41575,41.52924999999959,83.05849999999919,2.0,TP_HIT,0.0,0.9898485774427008,0.0,35.64900000000125,23490.1915,8.165750000000116,1.1639896494295865,0,30.626560998606006,23495.5405025877,23473.39461467059,23458.906064811494,23585.560919386146,23090.783383137255,32.19371689301847,0.13678964654227907,0.8927123139370043,0.0,1.0,0,0,0,1,1630,23508.016,23472.367,reversal_failed_move
