Type,Filter,Value,Trades,WinRate,TotalP&L,AvgP&L
ATR_Ratio,ATR_0-0.8,0-0.8,37,62.16216216216216,171.84999999999627,4.644594594594494
EMA_Pattern + Risk,Pattern_110_Risk>=10,"110, Risk>=10",20,55.00000000000001,375.5799999999999,18.778999999999996
Risk + Trend,Risk>=10_Trend>=0.6,"Risk>=10, Trend>=0.6",167,50.898203592814376,1691.320000000003,10.1276646706587
EMA + Risk + Trend,Pattern_110_Risk>=12_Trend>=0.6,"110, Risk>=12, Trend>=0.6",16,50.0,321.63999999999805,20.10249999999988
EMA_Pattern + Risk,Pattern_110_Risk>=12,"110, Risk>=12",16,50.0,321.63999999999805,20.10249999999988
Risk + Trend,Risk>=15_Trend>=0.6,"Risk>=15, Trend>=0.6",101,49.504950495049506,1231.570000000001,12.193762376237634
Risk + Trend,Risk>=10_Trend>=0.7,"Risk>=10, Trend>=0.7",122,49.18032786885246,995.829999999999,8.162540983606549
EMA_Pattern + Risk,Pattern_111_Risk>=10,"111, Risk>=10",122,49.18032786885246,995.829999999999,8.162540983606549
Risk + Trend,Risk>=12_Trend>=0.6,"Risk>=12, Trend>=0.6",133,48.1203007518797,1376.7099999999996,10.351203007518794
Risk + Trend,Risk>=15_Trend>=0.7,"Risk>=15, Trend>=0.7",76,47.368421052631575,688.8799999999992,9.06421052631578
EMA_Pattern + Risk,Pattern_111_Risk>=15,"111, Risk>=15",76,47.368421052631575,688.8799999999992,9.06421052631578
EMA_Pattern + Risk,Pattern_110_Risk>=15,"110, Risk>=15",15,46.666666666666664,291.7999999999979,19.453333333333195
Risk + Trend,Risk>=12_Trend>=0.7,"Risk>=12, Trend>=0.7",101,46.53465346534654,801.1999999999975,7.932673267326709
EMA_Pattern + Risk,Pattern_111_Risk>=12,"111, Risk>=12",101,46.53465346534654,801.1999999999975,7.932673267326709
RangeSize,Range_10-100,10-100,74,45.94594594594595,781.7500000000027,10.564189189189227
Risk_Range,Risk_10-12,10-12,61,45.90163934426229,243.0700000000038,3.984754098360718
Risk_Range,Risk_20-100,20-100,108,45.370370370370374,707.099999999999,6.547222222222213
RangeSize,Range_7-10,7-10,71,42.25352112676056,118.98000000000414,1.6757746478873823
EMA_Pattern,Pattern_111,111,366,41.0,1052.13,2.874672131147541
EMA_Pattern,Pattern_110,110,73,41.0,384.98,5.273698630136987
Trend_Score,Trend_>=0.7,0.7,366,40.7103825136612,1052.1299999999956,2.8746721311475287
Trend_Score,Trend_>=0.8,0.8,366,40.7103825136612,1052.1299999999956,2.8746721311475287
Trend_Score,Trend_>=0.9,0.9,366,40.7103825136612,1052.1299999999956,2.8746721311475287
ATR_Ratio,ATR_1.2-1.5,1.2-1.5,252,40.07936507936508,881.7400000000102,3.4989682539682945
