Feature,Importance
num__ATR,0.006222222222222173
num__Consolidation_Score,0.003555555555555512
cat__Market_XAUUSD,0.003555555555555512
num__EMA_200_1H,0.003555555555555512
cat__WindowType_0300,0.0017777777777777226
num__ATR_Pct,0.0008888888888888502
num__Is_Tight_Range,0.0
num__Is_Consolidating,0.0
cat__Market_GBPJPY,0.0
num__Price_Above_EMA200_1H,-2.2204460492503132e-17
num__Trend_Score,-0.0017777777777778115
num__EMA_21_5M,-0.0017777777777778336
num__BreakoutBodyPct,-0.005333333333333368
num__ATR_Ratio,-0.006222222222222263
num__EMA_50_5M,-0.007111111111111135
num__EMA_9_5M,-0.008000000000000052
num__Price_Above_EMA200_5M,-0.016888888888888932
num__Risk,-0.01866666666666674
num__EMA_200_5M,-0.02755555555555562
num__BreakoutDistance,-0.029333333333333343
num__RangeWidth,-0.031111111111111155
